reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
A,1,"[0.0,0.0,0.0]",1,-3.2992105571926644,-3.290030681128612,1.0,1.0,occupied,True,-0.009179876064052461,-0.24979715326916735,8.768952495685767e-06,0.00023861535333276443
A,1,"[0.0,0.0,0.0]",2,-3.2992105571926604,-3.290030681128612,1.0,1.0,occupied,True,-0.009179876064048464,-0.24979715326905857,8.76895249968257e-06,0.00023861535344152297
A,1,"[0.0,0.0,0.0]",3,-1.6706679272849974,-1.661499453064246,1.0,1.0,occupied,True,-0.0091684742207514,-0.249486893307186,2.0170795796747854e-05,0.000548875315314116
A,1,"[0.0,0.0,0.0]",4,-1.670667927284992,-1.661499453064246,1.0,1.0,occupied,True,-0.00916847422074607,-0.249486893307041,2.0170795802076924e-05,0.0005488753154591273
A,1,"[0.0,0.0,0.0]",5,-1.6619559041741516,-1.652785545715813,1.0,1.0,occupied,True,-0.00917035845833869,-0.24953816602395296,1.8286558209457127e-05,0.0004976025985471526
A,1,"[0.0,0.0,0.0]",6,-1.6619559041741514,-1.652785545715811,1.0,1.0,occupied,True,-0.009170358458340466,-0.24953816602400128,1.828655820768077e-05,0.0004976025984988155
A,1,"[0.0,0.0,0.0]",7,-1.6617685925217993,-1.652602182644505,1.0,1.0,occupied,True,-0.009166409877294335,-0.24943071966003144,2.2235139253812264e-05,0.0006050489624686593
A,1,"[0.0,0.0,0.0]",8,-1.6617685925217982,-1.652602182644503,1.0,1.0,occupied,True,-0.009166409877295223,-0.24943071966005562,2.2235139252924085e-05,0.0006050489624444907
A,1,"[0.0,0.0,0.0]",9,-0.16839752452530163,-0.1592091612709129,1.0,1.0,occupied,True,-0.009188363254388737,-0.2500281014835509,2.8176215957631534e-07,7.667138953732851e-06
A,1,"[0.0,0.0,0.0]",10,-0.16839752452530118,-0.1592091612709124,1.0,1.0,occupied,True,-0.009188363254388793,-0.2500281014835524,2.817621595208042e-07,7.667138952222315e-06
A,1,"[0.0,0.0,0.0]",11,0.05133330181712238,0.06051999770815743,2.31528930536997e-57,1.777148474510375e-57,empty,True,-0.009186695891035046,-0.24998273021532122,1.9491255132675356e-06,5.3038407183418875e-05
A,1,"[0.0,0.0,0.0]",12,0.05133330181712245,0.06051999770815852,2.3152893053697726e-57,1.777148474508405e-57,empty,True,-0.009186695891036066,-0.24998273021534897,1.9491255122405793e-06,5.303840715547397e-05
A,1,"[0.0,0.0,0.0]",13,0.05164559894715573,0.06082948730451875,1.6942455180113913e-57,1.304109591830065e-57,empty,True,-0.009183888357363022,-0.2499063333321732,4.75665918528434e-06,0.00012943529033126547
A,1,"[0.0,0.0,0.0]",14,0.051645598947156854,0.0608294873045253,1.6942455180095134e-57,1.30410959182154e-57,empty,True,-0.009183888357368448,-0.24990633333232085,4.756659179844247e-06,0.000129435290183233
A,1,"[0.0,0.0,0.0]",15,0.05182332017891983,0.06100683133087546,1.4183812943734182e-57,1.092180849199874e-57,empty,True,-0.009183511151955634,-0.24989606905013867,5.133864592693493e-06,0.00013969957236634856
A,1,"[0.0,0.0,0.0]",16,0.051823320178920176,0.06100683133088586,1.4183812943729346e-57,1.092180849188513e-57,empty,True,-0.009183511151965681,-0.24989606905041206,5.133864582645975e-06,0.00013969957209294167
