reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
A,1,"[0.0,0.0,0.0]",1,-3.2992105571926644,-3.290030032987275,1.0,1.0,occupied,True,-0.009180524205389506,-0.24981479009343166,8.015111465642377e-06,0.0002181022938961856
A,1,"[0.0,0.0,0.0]",2,-3.2992105571926604,-3.290030032987272,1.0,1.0,occupied,True,-0.009180524205388618,-0.24981479009340748,8.015111466530556e-06,0.00021810229392035417
A,1,"[0.0,0.0,0.0]",3,-1.6706679272849974,-1.661499016476153,1.0,1.0,occupied,True,-0.00916891080884441,-0.24949877347441532,1.9628508010738344e-05,0.0005341189129125332
A,1,"[0.0,0.0,0.0]",4,-1.670667927284992,-1.661499016476153,1.0,1.0,occupied,True,-0.009168910808839081,-0.2494987734742703,1.9628508016067414e-05,0.0005341189130575446
A,1,"[0.0,0.0,0.0]",5,-1.6619559041741516,-1.652785108001084,1.0,1.0,occupied,True,-0.009170796173067597,-0.2495500768485068,1.774314378755193e-05,0.0004828155388210538
A,1,"[0.0,0.0,0.0]",6,-1.6619559041741514,-1.652785108001082,1.0,1.0,occupied,True,-0.009170796173069373,-0.24955007684855512,1.7743143785775572e-05,0.00048281553877271664
A,1,"[0.0,0.0,0.0]",7,-1.6617685925217993,-1.652601749147876,1.0,1.0,occupied,True,-0.009166843373923372,-0.24944251570424053,2.1695942931776457e-05,0.0005903766830873306
A,1,"[0.0,0.0,0.0]",8,-1.6617685925217982,-1.652601749147871,1.0,1.0,occupied,True,-0.009166843373927147,-0.24944251570434323,2.16959429280017e-05,0.0005903766829846142
A,1,"[0.0,0.0,0.0]",9,-0.16839752452530163,-0.1592092749502884,1.0,1.0,occupied,True,-0.009188249575013241,-0.2500250081101561,2.897418420744202e-07,7.884277176309077e-06
A,1,"[0.0,0.0,0.0]",10,-0.16839752452530118,-0.1592092749502856,1.0,1.0,occupied,True,-0.009188249575015572,-0.2500250081102195,2.8974183974295187e-07,7.884277112866592e-06
A,1,"[0.0,0.0,0.0]",11,0.05133330181712238,0.06051991280831323,2.31528930536997e-57,1.77729936054401e-57,empty,True,-0.00918661099119085,-0.24998041997286857,1.9283256644797575e-06,5.247241446419665e-05
A,1,"[0.0,0.0,0.0]",12,0.05133330181712245,0.06051991280831323,2.3152893053697726e-57,1.77729936054401e-57,empty,True,-0.00918661099119078,-0.24998041997286669,1.9283256645352687e-06,5.247241446570718e-05
A,1,"[0.0,0.0,0.0]",13,0.05164559894715573,0.06082939159305185,1.6942455180113913e-57,1.304234416045572e-57,empty,True,-0.009183792645896117,-0.24990372889047907,4.7466709592047795e-06,0.0001291634968535024
A,1,"[0.0,0.0,0.0]",14,0.051645598947156854,0.0608293915930537,1.6942455180095134e-57,1.304234416043162e-57,empty,True,-0.009183792645896846,-0.2499037288904989,4.746670958455379e-06,0.00012916349683311014
A,1,"[0.0,0.0,0.0]",15,0.05182332017891983,0.06100672751265537,1.4183812943734182e-57,1.092294243357766e-57,empty,True,-0.009183407333735544,-0.24989324401245241,5.131983119771588e-06,0.00013964837487995927
A,1,"[0.0,0.0,0.0]",16,0.051823320178920176,0.06100672751265838,1.4183812943729346e-57,1.092294243354444e-57,empty,True,-0.009183407333738201,-0.24989324401252475,5.1319831171348085e-06,0.00013964837480820883
A,1,"[0.0,0.0,0.0]",17,0.05640445887870069,0.06559085277096612,1.4528799718635568e-59,1.115525085018926e-59,empty,True,-0.009186393892265422,-0.24997451241015517,2.1454245898722135e-06,5.837997717663818e-05
A,1,"[0.0,0.0,0.0]",18,0.05640445887870122,0.06559085277096681,1.4528799718627724e-59,1.115525085018165e-59,empty,True,-0.009186393892265589,-0.24997451241015972,2.1454245897334356e-06,5.837997717286184e-05
A,1,"[0.0,0.0,0.0]",19,0.0935401413099737,0.1027211411499545,1.0824498270705563e-75,8.356029919081802e-76,empty,True,-0.009180999839980789,-0.249827732770007,7.539476874540707e-06,0.00020515961732576882
A,1,"[0.0,0.0,0.0]",20,0.09354014130997401,0.1027211411499712,1.0824498270702486e-75,8.35602991894263e-76,empty,True,-0.009180999839997192,-0.24982773277045336,7.539476858164917e-06,0.0002051596168801609
A,1,"[0.0,0.0,0.0]",21,0.09368651173605327,0.1028745518917121,9.350609212623305e-76,7.167612987250946e-76,empty,True,-0.009188040155658828,-0.25001930951921575,4.991611964877407e-07,1.3582868116633927e-05
A,1,"[0.0,0.0,0.0]",22,0.0936865117360534,0.1028745518917362,9.350609212622241e-76,7.167612987078397e-76,empty,True,-0.009188040155682795,-0.25001930951986795,4.991611725069234e-07,1.3582867464082645e-05
A,1,"[0.0,0.0,0.0]",23,0.24479163479039995,0.2539729357379036,2.221870675935859e-141,0.0,empty,True,-0.009181300947503634,-0.24983592632311272,7.238369351680873e-06,0.00019696606421965932
A,1,"[0.0,0.0,0.0]",24,0.24479163479040025,0.253972935833603,2.2218706759351014e-141,0.0,empty,True,-0.009181301043202722,-0.24983592892721757,7.238273652565574e-06,0.00019696346011406952
A,2,"[0.125,0.0625,-0.1875]",1,-3.2990329996765553,-3.289852521486123,1.0,1.0,occupied,True,-0.009180478190432328,-0.24981353796265882,8.061126422820308e-06,0.00021935442466904657
A,2,"[0.125,0.0625,-0.1875]",2,-3.299032999612321,-3.289852521396671,1.0,1.0,occupied,True,-0.009180478215649934,-0.24981353864886482,8.061101205214527e-06,0.00021935373846303544
A,2,"[0.125,0.0625,-0.1875]",3,-1.6698394183222016,-1.66066786232185,1.0,1.0,occupied,True,-0.009171556000351577,-0.24957075280221142,1.6983316503571544e-05,0.00046213958511642886
A,2,"[0.125,0.0625,-0.1875]",4,-1.6698392843971483,-1.660667394793035,1.0,1.0,occupied,True,-0.009171889604113304,-0.24957983062302486,1.6649712741845235e-05,0.00045306176430298206
A,2,"[0.125,0.0625,-0.1875]",5,-1.661747302440199,-1.652578195115483,1.0,1.0,occupied,True,-0.009169107324715986,-0.24950412094370022,1.94319921391628e-05,0.0005287714436276256
A,2,"[0.125,0.0625,-0.1875]",6,-1.6617472310303003,-1.652577867628052,1.0,1.0,occupied,True,-0.009169363402248276,-0.24951108916834028,1.9175914606872624e-05,0.0005218032189875599
A,2,"[0.125,0.0625,-0.1875]",7,-1.6580719649958693,-1.648907532663824,1.0,1.0,occupied,True,-0.009164432332045225,-0.24937690791243902,2.4106984809924015e-05,0.0006559844748888393
A,2,"[0.125,0.0625,-0.1875]",8,-1.6580718689108604,-1.648906902270173,1.0,1.0,occupied,True,-0.009164966640687444,-0.249391447191277,2.3572676167704643e-05,0.0006414451960508423
A,2,"[0.125,0.0625,-0.1875]",9,-0.16186113476060232,-0.1526725958691947,1.0,1.0,occupied,True,-0.00918853889140761,-0.25003288081031055,4.2544770484376215e-10,1.1577021823969734e-08
A,2,"[0.125,0.0625,-0.1875]",10,-0.16186113205372782,-0.1526725927368726,1.0,1.0,occupied,True,-0.009188539316855232,-0.2500328923873301,8.326672684688674e-17,2.2658030656692306e-15
A,2,"[0.125,0.0625,-0.1875]",11,0.0037121043859559932,0.01289820562772221,1.1123168896561833e-36,8.542898215320564e-37,empty,True,-0.009186101241766217,-0.24996654898438622,2.438075089095104e-06,6.634340294607142e-05
A,2,"[0.125,0.0625,-0.1875]",12,0.0037121454479717678,0.01289829239173022,1.1122712166202253e-36,8.542157031385829e-37,empty,True,-0.009186146943758453,-0.24996779259894916,2.3923730968766765e-06,6.509978838360496e-05
A,2,"[0.125,0.0625,-0.1875]",13,0.02693991012905654,0.03612581539162541,9.089095586253558e-47,6.98204243014487e-47,empty,True,-0.00918590526256887,-0.24996121611875105,2.6340542864378147e-06,7.167626858114125e-05
A,2,"[0.125,0.0625,-0.1875]",14,0.026939963896242296,0.03612589859275389,9.088606904300412e-47,6.981461540501289e-47,empty,True,-0.009185934696511595,-0.24996201705713525,2.604620343710229e-06,7.087533019683883e-05
A,2,"[0.125,0.0625,-0.1875]",15,0.04715369760336567,0.05633561752725136,1.5128097410396e-55,1.166747652756911e-55,empty,True,-0.009181919923885687,-0.2498527695285219,6.619392969614557e-06,0.00018012285881011288
A,2,"[0.125,0.0625,-0.1875]",16,0.04715374489845958,0.05633568113880198,1.5127381942527751e-55,1.16667343649009e-55,empty,True,-0.0091819362403424,-0.2498532135219277,6.603076512928796e-06,0.00017967886540507083
A,2,"[0.125,0.0625,-0.1875]",17,0.09932708162399045,0.1085132829220952,3.3202556921120854e-78,2.549792129707954e-78,empty,True,-0.00918620129810474,-0.24996927165606014,2.3380187505472882e-06,6.362073127148816e-05
A,2,"[0.125,0.0625,-0.1875]",18,0.09932712922874111,0.1085133080430931,3.3200976359298224e-78,2.549728077189779e-78,empty,True,-0.009186178814351992,-0.24996865984197983,2.3605025033512916e-06,6.423254535329706e-05
A,2,"[0.125,0.0625,-0.1875]",19,0.1254630868179494,0.1346437657290281,1.4806373317385305e-89,0.0,empty,True,-0.009180678911078682,-0.24981899984969427,7.860405776605184e-06,0.0002138925376373439
A,2,"[0.125,0.0625,-0.1875]",20,0.12546311410906583,0.1346437988282393,1.4805969240441155e-89,0.0,empty,True,-0.009180684719173465,-0.24981915789600478,7.854597681877795e-06,0.0002137344913283637
A,2,"[0.125,0.0625,-0.1875]",21,0.1473767408326345,0.1565641636048399,4.502665433093433e-99,0.0,empty,True,-0.009187422772205411,-0.25000250965960297,1.116544649903961e-06,3.038272772942032e-05
A,2,"[0.125,0.0625,-0.1875]",22,0.14737674642721404,0.1565642101825332,4.502640242644147e-99,0.0,empty,True,-0.009187463755319147,-0.2500036248669404,1.075561536167946e-06,2.9267520391986643e-05
A,2,"[0.125,0.0625,-0.1875]",23,0.17155259743929263,0.1807375760546496,1.4257013430024992e-109,0.0,empty,True,-0.00918497861535697,-0.24993600076355427,3.5607014983729535e-06,9.689162377886972e-05
A,2,"[0.125,0.0625,-0.1875]",24,0.17155260460469213,0.1807375853714006,1.4256911273194156e-109,0.0,empty,True,-0.009184980766708484,-0.24993605930481125,3.5585501468871072e-06,9.68330825226375e-05
A,3,"[-0.125,-0.0625,0.1875]",1,-3.299032999676554,-3.289852521486123,1.0,1.0,occupied,True,-0.009180478190430996,-0.24981353796262254,8.061126424152576e-06,0.0002193544247052994
A,3,"[-0.125,-0.0625,0.1875]",2,-3.2990329996123213,-3.289852521396669,1.0,1.0,occupied,True,-0.009180478215652155,-0.24981353864892525,8.061101202994081e-06,0.00021935373840261402
A,3,"[-0.125,-0.0625,0.1875]",3,-1.669839418322202,-1.660667862321851,1.0,1.0,occupied,True,-0.009171556000351133,-0.24957075280219934,1.6983316504015633e-05,0.0004621395851285131
A,3,"[-0.125,-0.0625,0.1875]",4,-1.6698392843971481,-1.660667394793037,1.0,1.0,occupied,True,-0.009171889604111083,-0.24957983062296446,1.664971274406568e-05,0.00045306176436340345
A,3,"[-0.125,-0.0625,0.1875]",5,-1.6617473024401965,-1.652578195115483,1.0,1.0,occupied,True,-0.009169107324713544,-0.24950412094363375,1.9431992141605292e-05,0.0005287714436940891
A,3,"[-0.125,-0.0625,0.1875]",6,-1.6617472310303003,-1.652577867628054,1.0,1.0,occupied,True,-0.009169363402246278,-0.2495110891682859,1.9175914608871025e-05,0.0005218032190419391
A,3,"[-0.125,-0.0625,0.1875]",7,-1.6580719649958695,-1.648907532663825,1.0,1.0,occupied,True,-0.009164432332044559,-0.2493769079124209,2.410698481059015e-05,0.0006559844749069656
A,3,"[-0.125,-0.0625,0.1875]",8,-1.6580718689108607,-1.648906902270173,1.0,1.0,occupied,True,-0.009164966640687666,-0.24939144719128306,2.3572676167482598e-05,0.0006414451960448001
A,3,"[-0.125,-0.0625,0.1875]",9,-0.16186113476060196,-0.1526725958691943,1.0,1.0,occupied,True,-0.009188538891407666,-0.25003288081031205,4.254476493326109e-10,1.1577020313434356e-08
A,3,"[-0.125,-0.0625,0.1875]",10,-0.16186113205372762,-0.1526725927368723,1.0,1.0,occupied,True,-0.009188539316855315,-0.2500328923873324,0.0,0.0
A,3,"[-0.125,-0.0625,0.1875]",11,0.003712104385955874,0.01289820562772123,1.1123168896563256e-36,8.542898215329062e-37,empty,True,-0.009186101241765356,-0.2499665489843628,2.438075089955527e-06,6.634340296948472e-05
A,3,"[-0.125,-0.0625,0.1875]",12,0.003712145447971891,0.01289829239172965,1.1122712166200988e-36,8.542157031390685e-37,empty,True,-0.009186146943757759,-0.24996779259893026,2.3923730975428104e-06,6.509978840173139e-05
A,3,"[-0.125,-0.0625,0.1875]",13,0.0269399101290568,0.03612581539162571,9.089095586251232e-47,6.982042430142787e-47,empty,True,-0.009185905262568909,-0.24996121611875208,2.634054286410059e-06,7.167626858038598e-05
A,3,"[-0.125,-0.0625,0.1875]",14,0.026939963896242047,0.03612589859275385,9.088606904302737e-47,6.981461540501586e-47,empty,True,-0.009185934696511803,-0.2499620170571409,2.6046203434881843e-06,7.087533019079669e-05
A,3,"[-0.125,-0.0625,0.1875]",15,0.047153697603365755,0.05633561752725184,1.5128097410394711e-55,1.166747652756364e-55,empty,True,-0.009181919923886082,-0.24985276952853266,6.6193929692537345e-06,0.0001801228588002944
A,3,"[-0.125,-0.0625,0.1875]",16,0.04715374489845976,0.05633568113880086,1.5127381942524741e-55,1.166673436491416e-55,empty,True,-0.009181936240341096,-0.2498532135218922,6.603076514233308e-06,0.0001796788654405684
A,3,"[-0.125,-0.0625,0.1875]",17,0.0993270816239906,0.1085132829220946,3.3202556921115192e-78,2.549792129709694e-78,empty,True,-0.009186201298103991,-0.24996927165603974,2.3380187513244444e-06,6.362073129263566e-05
A,3,"[-0.125,-0.0625,0.1875]",18,0.0993271292287407,0.1085133080430926,3.3200976359312376e-78,2.549728077191083e-78,empty,True,-0.009186178814351909,-0.24996865984197758,2.3605025034068028e-06,6.42325453548076e-05
A,3,"[-0.125,-0.0625,0.1875]",19,0.1254630868179488,0.1346437657290279,1.4806373317394142e-89,0.0,empty,True,-0.009180678911079099,-0.24981899984970563,7.860405776216606e-06,0.00021389253762677015
A,3,"[-0.125,-0.0625,0.1875]",20,0.1254631141090662,0.1346437988282378,1.4805969240436106e-89,0.0,empty,True,-0.009180684719171606,-0.24981915789595416,7.854597683709663e-06,0.00021373449137821135
A,3,"[-0.125,-0.0625,0.1875]",21,0.1473767408326341,0.1565641636048398,4.502665433095225e-99,0.0,empty,True,-0.009187422772205689,-0.2500025096596105,1.1165446496264053e-06,3.038272772186764e-05
A,3,"[-0.125,-0.0625,0.1875]",22,0.14737674642721338,0.1565642101825341,4.50264024264709e-99,0.0,empty,True,-0.00918746375532073,-0.25000362486698346,1.0755615345581226e-06,2.9267520348181118e-05
A,3,"[-0.125,-0.0625,0.1875]",23,0.171552597439293,0.1807375760546501,1.425701343001932e-109,0.0,empty,True,-0.009184978615357109,-0.24993600076355804,3.56070149820642e-06,9.689162377433812e-05
A,3,"[-0.125,-0.0625,0.1875]",24,0.1715526046046924,0.1807375853713997,1.4256911273190105e-109,0.0,empty,True,-0.00918498076670729,-0.24993605930477877,3.5585501479973303e-06,9.683308255284821e-05
B,1,"[0.0,0.0,0.0]",1,-3.299210557192533,-3.290030032987275,1.0,1.0,occupied,True,-0.009180524205258056,-0.24981479008985472,8.015111382153606e-06,0.0002181022916243404
B,1,"[0.0,0.0,0.0]",2,-3.299210557192532,-3.290030032987272,1.0,1.0,occupied,True,-0.009180524205260276,-0.24981479008991514,8.01511137993316e-06,0.00021810229156391897
B,1,"[0.0,0.0,0.0]",3,-1.6706679272848615,-1.661499016476153,1.0,1.0,occupied,True,-0.00916891080870852,-0.24949877347071753,1.962850793191251e-05,0.000534118910767573
B,1,"[0.0,0.0,0.0]",4,-1.6706679272848604,-1.661499016476153,1.0,1.0,occupied,True,-0.009168910808707409,-0.24949877347068733,1.9628507933022732e-05,0.0005341189107977837
