k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, 0]",1,2.0,-0.25903274846240754,-0.25903423961756517,-1.4911551576290982e-06,-0.4427439777345826,-0.4427441287823261,-1.5104774347962646e-07
"[0, 0, 0]",2,2.0,0.1837112292720421,0.1837098891646814,-1.3401073606922331e-06,-1.3300471835009375e-13,-7.954747971439247e-14,5.345723863570129e-14
"[0, 0, 0]",3,2.0,0.18371122927211894,0.18370988916471637,-1.3401074025753967e-06,-5.614952947041729e-14,-4.4575454438700035e-14,1.1574075031717257e-14
"[0, 0, 0]",4,2.0,0.1837112292721751,0.18370988916476094,-1.3401074141494718e-06,0.0,0.0,0.0
"[0, 0, 0]",5,0.0,0.27174857866685265,0.27174779288808193,-7.857787707177266e-07,0.08803734939467756,0.08803790372332099,5.543286434317451e-07
"[0, 0, 0]",6,0.0,0.271748578666881,0.271747792888095,-7.857787860388044e-07,0.08803734939470592,0.08803790372333403,5.543286281106674e-07
"[0, 0, 0]",7,0.0,0.2717485786669102,0.2717477928881787,-7.857787315268538e-07,0.08803734939473512,0.08803790372341774,5.543286826226179e-07
"[0, 0, 0]",8,0.0,0.3000500533040941,0.3000458271712822,-4.226132811924188e-06,0.11633882403191903,0.11633593800652126,-2.8860253977747163e-06
"[0, 0, -0.5]",1,2.0,-0.17189630491989075,-0.17189792315743854,-1.6182375477957756e-06,-0.3556075341920658,-0.3556078123221995,-2.7813013370181494e-07
"[0, 0, -0.5]",2,2.0,-0.07719171664857838,-0.07719329494249433,-1.5782939159492138e-06,-0.26090294592075347,-0.26090318410725527,-2.38186501799742e-07
"[0, 0, -0.5]",3,2.0,0.13863066694915033,0.1386294154750444,-1.2514741059288514e-06,-0.045080562323024764,-0.045080473689716544,8.863330822062032e-08
"[0, 0, -0.5]",4,2.0,0.1386306669492245,0.1386294154751083,-1.2514741161984144e-06,-0.0450805623229506,-0.04508047368965265,8.863329795105734e-08
"[0, 0, -0.5]",5,0.0,0.2325145512721194,0.23251296562818163,-1.5856439377626153e-06,0.048803321999944305,0.04880307646342069,-2.455365236131435e-07
"[0, 0, -0.5]",6,0.0,0.2990459428527681,0.2990452896861747,-6.531665933673381e-07,0.115334713580593,0.11533540052141378,6.869408207821337e-07
"[0, 0, -0.5]",7,0.0,0.29904594285279645,0.2990452896861816,-6.531666148501536e-07,0.11533471358062136,0.11533540052142066,6.869407992993182e-07
"[0, 0, -0.5]",8,0.0,0.45075614437387285,0.4507558912755729,-2.530982999293663e-07,0.26704491510169776,0.267046002110812,1.0870091142201055e-06
"[0, -0.5, 0]",1,2.0,-0.17189630491993835,-0.17189792315747374,-1.6182375353890333e-06,-0.35560753419211344,-0.3556078123222347,-2.7813012126731707e-07
"[0, -0.5, 0]",2,2.0,-0.07719171664848236,-0.07719329494242722,-1.5782939448566458e-06,-0.26090294592065744,-0.26090318410718816,-2.3818653072105178e-07
"[0, -0.5, 0]",3,2.0,0.13863066694911694,0.13862941547504015,-1.251474076785497e-06,-0.045080562323058154,-0.04508047368972079,8.863333736397472e-08
"[0, -0.5, 0]",4,2.0,0.13863066694921866,0.13862941547507293,-1.2514741457303469e-06,-0.04508056232295643,-0.04508047368968801,8.863326841912489e-08
"[0, -0.5, 0]",5,0.0,0.23251455127210655,0.23251296562827603,-1.585643830515071e-06,0.048803321999931454,0.04880307646351509,-2.455364163655993e-07
"[0, -0.5, 0]",6,0.0,0.29904594285271907,0.2990452896860888,-6.531666302822536e-07,0.11533471358054398,0.11533540052132785,6.869407838672181e-07
"[0, -0.5, 0]",7,0.0,0.2990459428527712,0.2990452896861078,-6.531666634224109e-07,0.1153347135805961,0.11533540052134683,6.869407507270608e-07
"[0, -0.5, 0]",8,0.0,0.4507561443738455,0.4507558912755686,-2.530982768922385e-07,0.2670449151016704,0.26704600211080765,1.0870091372572332e-06
"[0, -0.5, -0.5]",1,2.0,-0.1055175989404522,-0.10551925818618163,-1.659245729423997e-06,-0.2892288282126273,-0.2892291473509426,-3.191383152745253e-07
"[0, -0.5, -0.5]",2,2.0,-0.10551759894033115,-0.10551925818601943,-1.6592456882763562e-06,-0.28922882821250623,-0.28922914735078037,-3.1913827414076223e-07
"[0, -0.5, -0.5]",3,2.0,0.07601347909140727,0.07601210014210849,-1.3789492987748009e-06,-0.10769775018076783,-0.10769778902265245,-3.8841884625329115e-08
"[0, -0.5, -0.5]",4,2.0,0.07601347909142767,0.07601210014213114,-1.3789492965265993e-06,-0.10769775018074743,-0.1076977890226298,-3.884188237712749e-08
"[0, -0.5, -0.5]",5,0.0,0.19897533664243963,0.19897480864348518,-5.279989544471064e-07,0.01526410737026454,0.015264919478724243,8.121084597023653e-07
"[0, -0.5, -0.5]",6,0.0,0.19897533664246828,0.1989748086435046,-5.279989636619575e-07,0.015264107370293184,0.015264919478743671,8.121084504875142e-07
"[0, -0.5, -0.5]",7,0.0,0.5476168537931286,0.547612654233058,-4.19956007058353e-06,0.36390562452095354,0.3639027650682971,-2.8594526564340583e-06
"[0, -0.5, -0.5]",8,0.0,0.547616853793138,0.5476126542331351,-4.199560002859926e-06,0.36390562452096287,0.36390276506837416,-2.859452588710454e-06
"[-0.5, 0, 0]",1,2.0,-0.1718963049199086,-0.17189792315745397,-1.6182375453810405e-06,-0.3556075341920837,-0.35560781232221494,-2.781301312593243e-07
"[-0.5, 0, 0]",2,2.0,-0.07719171664853988,-0.07719329494246385,-1.5782939239705751e-06,-0.26090294592071495,-0.2609031841072248,-2.3818650984885892e-07
"[-0.5, 0, 0]",3,2.0,0.13863066694913326,0.13862941547502586,-1.251474107399897e-06,-0.045080562323041834,-0.045080473689735084,8.863330674957481e-08
"[-0.5, 0, 0]",4,2.0,0.1386306669492298,0.13862941547511276,-1.2514741170310817e-06,-0.0450805623229453,-0.04508047368964818,8.863329711839008e-08
"[-0.5, 0, 0]",5,0.0,0.2325145512720864,0.2325129656281958,-1.5856438906058923e-06,0.0488033219999113,0.04880307646343485,-2.455364764564205e-07
"[-0.5, 0, 0]",6,0.0,0.2990459428527507,0.2990452896861467,-6.531666040254791e-07,0.11533471358057562,0.11533540052138574,6.869408101239927e-07
"[-0.5, 0, 0]",7,0.0,0.2990459428528126,0.2990452896861667,-6.531666458808871e-07,0.11533471358063752,0.11533540052140578,6.869407682685846e-07
"[-0.5, 0, 0]",8,0.0,0.45075614437385875,0.45075589127556615,-2.530982926018943e-07,0.26704491510168366,0.2670460021108052,1.0870091215475775e-06
"[-0.5, 0, -0.5]",1,2.0,-0.10551759894046399,-0.10551925818618117,-1.6592457171837882e-06,-0.28922882821263907,-0.28922914735094213,-3.19138303062072e-07
"[-0.5, 0, -0.5]",2,2.0,-0.10551759894031866,-0.10551925818601904,-1.6592457003777872e-06,-0.28922882821249374,-0.28922914735078,-3.191382862421932e-07
"[-0.5, 0, -0.5]",3,2.0,0.07601347909137929,0.07601210014209711,-1.3789492821769667e-06,-0.1076977501807958,-0.10769778902266383,-3.88418680274949e-08
"[-0.5, 0, -0.5]",4,2.0,0.0760134790914534,0.07601210014214177,-1.3789493116256324e-06,-0.1076977501807217,-0.10769778902261917,-3.8841897476160625e-08
"[-0.5, 0, -0.5]",5,0.0,0.1989753366424141,0.1989748086434755,-5.279989385986728e-07,0.015264107370239005,0.015264919478714556,8.12108475550799e-07
"[-0.5, 0, -0.5]",6,0.0,0.19897533664249548,0.19897480864351483,-5.279989806483698e-07,0.015264107370320384,0.015264919478753886,8.12108433501102e-07
"[-0.5, 0, -0.5]",7,0.0,0.5476168537930935,0.5476126542330502,-4.199560043383066e-06,0.36390562452091846,0.3639027650682892,-2.8594526292335942e-06
"[-0.5, 0, -0.5]",8,0.0,0.5476168537931648,0.5476126542331348,-4.19956003006039e-06,0.36390562452098973,0.3639027650683738,-2.859452615910918e-06
"[-0.5, -0.5, 0]",1,2.0,-0.10551759894045165,-0.10551925818618191,-1.6592457302566643e-06,-0.28922882821262674,-0.28922914735094285,-3.1913831610719257e-07
"[-0.5, -0.5, 0]",2,2.0,-0.10551759894032704,-0.10551925818601827,-1.659245691232325e-06,-0.2892288282125021,-0.2892291473507792,-3.1913827708285325e-07
"[-0.5, -0.5, 0]",3,2.0,0.0760134790914141,0.07601210014209354,-1.37894932054905e-06,-0.107697750180761,-0.1076977890226674,-3.8841906399578185e-08
"[-0.5, -0.5, 0]",4,2.0,0.07601347909142046,0.07601210014214524,-1.378949275224195e-06,-0.10769775018075463,-0.1076977890226157,-3.8841861074723205e-08
"[-0.5, -0.5, 0]",5,0.0,0.19897533664244688,0.19897480864347578,-5.279989711004518e-07,0.015264107370271784,0.015264919478714833,8.1210844304902e-07
"[-0.5, -0.5, 0]",6,0.0,0.1989753366424626,0.19897480864351544,-5.279989471751456e-07,0.015264107370287522,0.015264919478754496,8.121084669743261e-07
"[-0.5, -0.5, 0]",7,0.0,0.5476168537931018,0.5476126542330364,-4.199560065365482e-06,0.3639056245209267,0.36390276506827546,-2.85945265121601e-06
"[-0.5, -0.5, 0]",8,0.0,0.5476168537931657,0.5476126542331494,-4.199560016293624e-06,0.3639056245209906,0.3639027650683885,-2.8594526021441524e-06
"[-0.5, -0.5, -0.5]",1,2.0,-0.17189630491994418,-0.17189792315745464,-1.6182375104645264e-06,-0.35560753419211927,-0.3556078123222156,-2.7813009634281016e-07
"[-0.5, -0.5, -0.5]",2,2.0,-0.07719171664847191,-0.07719329494246166,-1.5782939897512893e-06,-0.260902945920647,-0.2609031841072226,-2.3818657557406198e-07
"[-0.5, -0.5, -0.5]",3,2.0,0.13863066694912468,0.1386294154750264,-1.2514740982683126e-06,-0.04508056232305041,-0.04508047368973453,8.863331588115919e-08
"[-0.5, -0.5, -0.5]",4,2.0,0.13863066694920242,0.13862941547511273,-1.2514740896918397e-06,-0.04508056232297267,-0.04508047368964821,8.863332445763206e-08
"[-0.5, -0.5, -0.5]",5,0.0,0.23251455127214643,0.23251296562818016,-1.5856439662675914e-06,0.04880332199997134,0.04880307646341922,-2.4553655211811964e-07
"[-0.5, -0.5, -0.5]",6,0.0,0.29904594285269054,0.29904528968615673,-6.531665338038728e-07,0.11533471358051545,0.11533540052139579,6.86940880345599e-07
"[-0.5, -0.5, -0.5]",7,0.0,0.2990459428527477,0.2990452896861711,-6.531665766029704e-07,0.11533471358057262,0.11533540052141017,6.869408375465014e-07
"[-0.5, -0.5, -0.5]",8,0.0,0.4507561443738501,0.4507558912755655,-2.5309828460828854e-07,0.267044915101675,0.26704600211080454,1.0870091295411832e-06
