k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, 0]",1,2.0,-0.2096295824590137,-0.2096303850835582,-8.026245444936464e-07,-0.44274408475672433,-0.4427443646479195,-2.798911951651384e-07
"[0, 0, 0]",2,2.0,0.2331141909007091,0.233113738028713,-4.528719960983363e-07,-3.1139700151783245e-07,-2.415356483154163e-07,6.986135320241615e-08
"[0, 0, 0]",3,2.0,0.2331142524193345,0.2331138497457338,-4.026736007134435e-07,-2.4987837610179753e-07,-1.2981862751448858e-07,1.2005974858730895e-07
"[0, 0, 0]",4,2.0,0.2331145022977106,0.2331139795643613,-5.227333493007524e-07,0.0,0.0,0.0
"[0, 0, 0]",5,0.0,0.3211516891760546,0.3211514251335335,-2.640425210698183e-07,0.08803718687834397,0.0880374455691722,2.5869082823093414e-07
"[0, 0, 0]",6,0.0,0.3211518073771116,0.3211514900070436,-3.173700679481861e-07,0.08803730507940097,0.08803751044268232,2.0536328135256632e-07
"[0, 0, 0]",7,0.0,0.3211518267086746,0.3211515801872817,-2.4652139291037045e-07,0.08803732441096399,0.08803760062292038,2.76211956390382e-07
"[0, 0, 0]",8,0.0,0.3494531695626245,0.3494498909874713,-3.278575153198293e-06,0.1163386672649139,0.11633591142311,-2.7558418038975407e-06
"[0, 0, -0.5]",1,2.0,-0.1224931529912403,-0.1224940115919589,-8.586007185923394e-07,-0.3556076552889509,-0.3556079911563202,-3.358673693054648e-07
"[0, 0, -0.5]",2,2.0,-0.02778857425030919,-0.02778950351082708,-9.292605178887192e-07,-0.2609030765480198,-0.2609034830751884,-4.065271685949057e-07
"[0, 0, -0.5]",3,2.0,0.1880336803295161,0.1880332484547578,-4.3187475828876387e-07,-0.04508082196819452,-0.045080731109603506,9.085859101198857e-08
"[0, 0, -0.5]",4,2.0,0.1880338911898645,0.1880334017045226,-4.894853418979661e-07,-0.045080611107846114,-0.04508057785983871,3.324800740278633e-08
