k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, 0]",1,2.0,-0.2590347568979995,-0.26586871860570427,-0.006833961707704783,-0.4427442221414012,-0.44016240362775355,0.002581818513647638
"[0, 0, 0]",2,2.0,0.18370946524336743,0.17429368502203715,-0.009415780221330272,-3.425038030968608e-14,-1.2129186544029835e-14,2.2121193765656244e-14
"[0, 0, 0]",3,2.0,0.183709465243376,0.17429368502204726,-0.009415780221328746,-2.5673907444456745e-14,-2.0261570199409107e-15,2.3647750424515834e-14
"[0, 0, 0]",4,2.0,0.18370946524340168,0.17429368502204928,-0.009415780221352393,0.0,0.0,0.0
"[0, 0, 0]",5,0.0,0.27174744022222497,0.2666975609079317,-0.005049879314293293,0.08803797497882329,0.09240387588588239,0.0043659009070591
"[0, 0, 0]",6,0.0,0.271747440222238,0.26669756090793834,-0.005049879314299677,0.08803797497883634,0.09240387588588905,0.004365900907052717
"[0, 0, 0]",7,0.0,0.2717474402223408,0.2666975609079488,-0.005049879314391992,0.08803797497893914,0.09240387588589954,0.0043659009069604016
"[0, 0, 0]",8,0.0,0.30004443494057187,0.2909523819536826,-0.009092052986889254,0.11633496969717019,0.11665869693163333,0.0003237272344631392
"[0, 0, -0.5]",1,2.0,-0.171898392132681,-0.17983044328172393,-0.00793205114904294,-0.3556078573760827,-0.3541241283037732,0.001483729072309481
"[0, 0, -0.5]",2,2.0,-0.07719382100746744,-0.08329243350469209,-0.006098612497224654,-0.2609032862508691,-0.2575861185267414,0.003317167724127712
"[0, 0, -0.5]",3,2.0,0.13862889075996196,0.13018927545027711,-0.008439615309684845,-0.04508057448343972,-0.04410440957177217,0.0009761649116675486
"[0, 0, -0.5]",4,2.0,0.13862889076002247,0.13018927545028866,-0.008439615309733806,-0.04508057448337921,-0.04410440957176062,0.0009761649116185878
"[0, 0, -0.5]",5,0.0,0.2325123250107256,0.22607102881999735,-0.006441296190728252,0.04880285976732393,0.05177734379794807,0.0029744840306241416
"[0, 0, -0.5]",6,0.0,0.299045037725995,0.2949707131543666,-0.004074324571628374,0.11533557248259332,0.12067702813231734,0.0053414556497240195
"[0, 0, -0.5]",7,0.0,0.29904503772601404,0.29497071315437284,-0.004074324571641197,0.11533557248261236,0.12067702813232356,0.0053414556497111965
"[0, 0, -0.5]",8,0.0,0.450755730418682,0.44974037920078197,-0.001015351217900029,0.2670462651752803,0.2754466941787327,0.008400429003452392
"[0, -0.5, 0]",1,2.0,-0.17189839213267852,-0.17983044328171752,-0.007932051149038999,-0.3556078573760802,-0.3541241283037668,0.0014837290723133667
"[0, -0.5, 0]",2,2.0,-0.07719382100747213,-0.08329243350470449,-0.006098612497232356,-0.2609032862508738,-0.2575861185267538,0.003317167724119996
"[0, -0.5, 0]",3,2.0,0.13862889075996676,0.1301892754502819,-0.008439615309684873,-0.045080574483434915,-0.044104409571767395,0.0009761649116675208
"[0, -0.5, 0]",4,2.0,0.13862889076002188,0.1301892754502878,-0.008439615309734083,-0.04508057448337979,-0.04410440957176148,0.0009761649116183102
"[0, -0.5, 0]",5,0.0,0.23251232501070984,0.2260710288199948,-0.00644129619071504,0.048802859767308165,0.05177734379794552,0.0029744840306373532
"[0, -0.5, 0]",6,0.0,0.2990450377260057,0.29497071315437556,-0.00407432457163015,0.11533557248260404,0.12067702813232628,0.005341455649722243
"[0, -0.5, 0]",7,0.0,0.29904503772602453,0.2949707131543808,-0.00407432457164375,0.11533557248262286,0.1206770281323315,0.005341455649708643
"[0, -0.5, 0]",8,0.0,0.4507557304186813,0.44974037920078525,-0.0010153512178960322,0.26704626517527963,0.27544669417873596,0.008400429003456333
"[0, -0.5, -0.5]",1,2.0,-0.10551981454520132,-0.1134712720970518,-0.007951457551850477,-0.289229279788603,-0.2877649571191011,0.0014643226695019163
"[0, -0.5, -0.5]",2,2.0,-0.10551981454518156,-0.11347127209704529,-0.00795145755186373,-0.28922927978858326,-0.28776495711909456,0.0014643226694887046
"[0, -0.5, -0.5]",3,2.0,0.07601162488093131,0.06905643280035025,-0.0069551920805810685,-0.10769784036247036,-0.10523725222169904,0.002460588140771325
"[0, -0.5, -0.5]",4,2.0,0.07601162488095925,0.06905643280035384,-0.00695519208060541,-0.10769784036244243,-0.10523725222169544,0.002460588140746983
"[0, -0.5, -0.5]",5,0.0,0.19897455529697458,0.19586712452537203,-0.003107430771602554,0.015265090053572905,0.021573439503322744,0.006308349449749839
"[0, -0.5, -0.5]",6,0.0,0.19897455529697788,0.19586712452537475,-0.003107430771603137,0.015265090053576208,0.021573439503325464,0.0063083494497492565
"[0, -0.5, -0.5]",7,0.0,0.5476115771517459,0.5404743636457005,-0.007137213506045459,0.3639021119083442,0.36618067862365117,0.002278566715306962
"[0, -0.5, -0.5]",8,0.0,0.5476115771518341,0.5404743636457042,-0.007137213506129836,0.36390211190843236,0.36618067862365494,0.0022785667152225852
"[-0.5, 0, 0]",1,2.0,-0.17189839213268976,-0.17983044328172218,-0.00793205114903242,-0.35560785737609146,-0.3541241283037715,0.0014837290723199725
"[-0.5, 0, 0]",2,2.0,-0.077193821007454,-0.08329243350469603,-0.006098612497242029,-0.2609032862508557,-0.2575861185267453,0.0033171677241103925
"[-0.5, 0, 0]",3,2.0,0.13862889075997709,0.13018927545027703,-0.008439615309700055,-0.04508057448342459,-0.04410440957177225,0.0009761649116523385
"[-0.5, 0, 0]",4,2.0,0.13862889075999024,0.13018927545028955,-0.008439615309700693,-0.045080574483411434,-0.044104409571759734,0.0009761649116517002
"[-0.5, 0, 0]",5,0.0,0.23251232501081914,0.22607102881998895,-0.006441296190830198,0.04880285976741747,0.05177734379793966,0.0029744840305221953
"[-0.5, 0, 0]",6,0.0,0.2990450377259472,0.2949707131543733,-0.004074324571573917,0.11533557248254553,0.120677028132324,0.005341455649778476
"[-0.5, 0, 0]",7,0.0,0.2990450377259497,0.29497071315438045,-0.004074324571569254,0.11533557248254803,0.12067702813233117,0.005341455649783139
"[-0.5, 0, 0]",8,0.0,0.45075573041869316,0.44974037920078264,-0.0010153512179105206,0.2670462651752915,0.27544669417873335,0.008400429003441845
"[-0.5, 0, -0.5]",1,2.0,-0.10551981454519922,-0.11347127209705449,-0.007951457551855265,-0.2892292797886009,-0.28776495711910377,0.0014643226694971423
"[-0.5, 0, -0.5]",2,2.0,-0.10551981454518156,-0.1134712720970429,-0.007951457551861343,-0.28922927978858326,-0.28776495711909217,0.0014643226694910916
"[-0.5, 0, -0.5]",3,2.0,0.0760116248809246,0.06905643280035167,-0.006955192080572922,-0.10769784036247708,-0.10523725222169761,0.002460588140779471
"[-0.5, 0, -0.5]",4,2.0,0.07601162488096602,0.06905643280035274,-0.006955192080613279,-0.10769784036243565,-0.10523725222169654,0.0024605881407391145
"[-0.5, 0, -0.5]",5,0.0,0.19897455529696786,0.1958671245253696,-0.003107430771598252,0.015265090053566188,0.02157343950332033,0.0063083494497541415
"[-0.5, 0, -0.5]",6,0.0,0.1989745552969841,0.19586712452537688,-0.003107430771607217,0.015265090053582425,0.0215734395033276,0.006308349449745176
"[-0.5, 0, -0.5]",7,0.0,0.5476115771517275,0.5404743636456956,-0.007137213506031914,0.3639021119083258,0.3661806786236463,0.002278566715320507
"[-0.5, 0, -0.5]",8,0.0,0.5476115771518492,0.5404743636457064,-0.0071372135061427144,0.36390211190844746,0.36618067862365716,0.0022785667152097067
"[-0.5, -0.5, 0]",1,2.0,-0.10551981454519734,-0.11347127209705159,-0.007951457551854252,-0.289229279788599,-0.2877649571191009,0.0014643226694981415
"[-0.5, -0.5, 0]",2,2.0,-0.10551981454518371,-0.1134712720970452,-0.007951457551861496,-0.28922927978858537,-0.2877649571190945,0.0014643226694908695
"[-0.5, -0.5, 0]",3,2.0,0.07601162488093156,0.0690564328003473,-0.00695519208058426,-0.10769784036247011,-0.10523725222170198,0.002460588140768133
"[-0.5, -0.5, 0]",4,2.0,0.07601162488095993,0.06905643280035685,-0.006955192080603079,-0.10769784036244175,-0.10523725222169243,0.0024605881407493146
"[-0.5, -0.5, 0]",5,0.0,0.1989745552969712,0.1958671245253689,-0.003107430771602304,0.015265090053569519,0.021573439503319608,0.006308349449750089
"[-0.5, -0.5, 0]",6,0.0,0.19897455529698077,0.19586712452537786,-0.003107430771602915,0.015265090053579095,0.021573439503328573,0.0063083494497494785
"[-0.5, -0.5, 0]",7,0.0,0.5476115771517454,0.5404743636456909,-0.007137213506054452,0.36390211190834365,0.3661806786236416,0.0022785667152979694
"[-0.5, -0.5, 0]",8,0.0,0.547611577151835,0.5404743636457104,-0.007137213506124507,0.36390211190843325,0.36618067862366116,0.0022785667152279143
"[-0.5, -0.5, -0.5]",1,2.0,-0.17189839213267744,-0.17983044328172249,-0.00793205114904505,-0.35560785737607914,-0.35412412830377177,0.0014837290723073715
