k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, 0]",1,2.0,-0.2096311468026683,-0.2164654711012831,-0.006834324298614802,-0.442744304076639,-0.44016239397624024,0.0025819101003987655
"[0, 0, 0]",2,2.0,0.2331129811371087,0.2236969000941468,-0.009416081042961905,-1.7613686198458822e-07,-2.2780810293721032e-08,1.533560516908672e-07
"[0, 0, 0]",3,2.0,0.2331130935456687,0.2236969113205927,-0.009416182225076009,-6.372830199663504e-08,-1.1554364409693818e-08,5.217393758694122e-08
"[0, 0, 0]",4,2.0,0.2331131572739707,0.2236969228749571,-0.009416234399013595,0.0,0.0,0.0
"[0, 0, 0]",5,0.0,0.3211509219596729,0.3161008245372587,-0.00505009742241419,0.08803776468570218,0.09240390166230159,0.004366136976599405
"[0, 0, 0]",6,0.0,0.3211509548075693,0.3161008254256634,-0.005050129381905855,0.08803779753359858,0.09240390255070632,0.004366105017107741
"[0, 0, 0]",7,0.0,0.321151021206034,0.3161008293786512,-0.005050191827382811,0.08803786393206331,0.0924039065036941,0.004366042571630785
"[0, 0, 0]",8,0.0,0.3494481927897013,0.3403556375524855,-0.009092555237215805,0.1163350355157306,0.11665871467752839,0.00032367916179779077
"[0, 0, -0.5]",1,2.0,-0.1224948156203031,-0.13042720100508,-0.007932385384776919,-0.3556079728942738,-0.3541241238800371,0.0014838490142367045
"[0, 0, -0.5]",2,2.0,-0.0277901478705967,-0.0338891814931755,-0.006099033622578798,-0.2609033051445674,-0.2575861043681326,0.00331720077643477
"[0, 0, -0.5]",3,2.0,0.1880324098035153,0.1795925005702286,-0.008439909233286691,-0.0450807474704554,-0.0441044223047285,0.0009763251657269045
"[0, 0, -0.5]",4,2.0,0.1880325039002831,0.1795925171676319,-0.0084399867326512,-0.04508065337368761,-0.04410440570732521,0.0009762476663623953
"[0, 0, -0.5]",5,0.0,0.2819160206524445,0.2754742887641711,-0.00644173188827335,0.04880286337847378,0.05177736588921403,0.0029745025107402456
"[0, 0, -0.5]",6,0.0,0.348448490258437,0.3443739750635309,-0.004074515194906092,0.1153353329844663,0.1206770521885738,0.0053417192041075034
"[0, 0, -0.5]",7,0.0,0.3484486090480498,0.3443739846822636,-0.004074624365786206,0.11533545177407911,0.1206770618073065,0.00534161003322739
