grid_points,actual_F,analytic_F,l,q,normalized_error,modified_normalized_error
2401,9.507749897101304,9.50774989710133,0,0.0,2.8024877472983635e-15,2.8024877472983635e-15
2401,9.507749897101304,9.50774989710133,0,1e-08,2.8024877472983635e-15,2.8024877472983635e-15
2401,9.50774986314504,9.507749863145081,0,0.0001,4.297147894537781e-15,4.297147894537781e-15
2401,9.372890473686939,9.372890473686937,0,0.2,1.8952070808755533e-16,1.8952070808755533e-16
2401,7.1193863178534755,7.119386317853467,0,0.9,1.2475491285994923e-15,1.2475491285994923e-15
2401,1.4373793078334058,1.4373793078334063,0,2.3,3.0895756424895816e-16,3.0895756424895816e-16
2401,0.03136136776161888,0.03136136776161804,0,4.0,8.396061623727746e-16,8.396061623727746e-16
2401,0.0,0.0,1,0.0,0.0,1.1770448538653125e-15
2401,6.791249926500943e-08,6.791249926500951e-08,1,1e-08,7.940933880509066e-23,1.1770448538653125e-15
2401,0.0006791249902246462,0.0006791249902246487,1,0.0001,2.4936649967166602e-18,3.661917336214805e-15
2401,1.3389843533838481,1.3389843533838484,1,0.2,1.6583061957661092e-16,1.3266449566128876e-16
2401,4.5767483471915105,4.576748347191515,1,0.9,9.703159889107175e-16,1.0479412680235749e-15
2401,2.3614088628691645,2.3614088628691676,1,2.3,1.3164278824520824e-15,1.2976217698456241e-15
2401,0.08960390789033745,0.08960390789033727,1,4.0,1.8041124150158794e-16,4.5102810375396984e-17
2401,0.0,0.0,2,0.0,0.0,1.830958661568264e-15
2401,4.850892804643528e-16,4.850892804643537e-16,2,1e-08,8.874685183736383e-31,1.830958661568264e-15
2401,4.850892787318916e-08,4.8508927873189193e-08,2,0.0001,3.3087224502121107e-23,7.323834672429609e-16
2401,0.19128347905483548,0.1912834790548355,2,0.2,2.7755575615628914e-17,1.8573029392580422e-16
2401,2.9421953660516937,2.9421953660516884,2,0.9,1.8112565126333356e-15,1.7116374044385024e-15
2401,3.879457417570769,3.879457417570775,2,2.3,1.4881358671197457e-15,1.1102230246251565e-15
2401,0.2560111654009632,0.25601116540096364,2,4.0,4.440892098500626e-16,2.7755575615628914e-17
2401,0.0,0.0,3,0.0,0.0,0.0
2401,3.464923431888241e-24,3.464923431888241e-24,3,1e-08,0.0,0.0
2401,3.4649234195135005e-12,3.4649234195135143e-12,3,0.0001,1.3732490638087374e-26,3.9731803097930624e-15
2401,0.02732621129354704,0.027326211293547936,3,0.2,8.951173136040325e-16,3.276282384851186e-14
2401,1.8914113067475156,1.8914113067475145,3,0.9,5.869812772422852e-16,5.134912213315512e-16
2401,6.373394328866255,6.373394328866273,3,2.3,2.7871440989533695e-15,1.4432899320127035e-15
2401,0.7314604725741813,0.731460472574182,3,4.0,6.661338147750939e-16,1.0408340855860843e-17
4801,9.50774989710133,9.50774989710133,0,0.0,0.0,0.0
4801,9.50774989710133,9.50774989710133,0,1e-08,0.0,0.0
4801,9.507749863145065,9.507749863145081,0,0.0001,1.681492654384349e-15,1.681492654384349e-15
4801,9.372890473686935,9.372890473686937,0,0.2,1.8952070808755535e-16,1.8952070808755535e-16
4801,7.1193863178534516,7.119386317853467,0,0.9,2.1208335186191396e-15,2.1208335186191396e-15
4801,1.4373793078334112,1.4373793078334063,0,2.3,3.398533206738528e-15,3.398533206738528e-15
4801,0.03136136776161739,0.03136136776161804,0,4.0,6.522560269672795e-16,6.522560269672795e-16
4801,0.0,0.0,1,0.0,0.0,1.9617414231088542e-15
4801,6.791249926500937e-08,6.791249926500951e-08,1,1e-08,1.3234889800848443e-22,1.9617414231088542e-15
4801,0.0006791249902246462,0.0006791249902246487,1,0.0001,2.4936649967166602e-18,3.661917336214805e-15
4801,1.3389843533838552,1.3389843533838484,1,0.2,5.140749206874912e-15,5.173915330790235e-15
4801,4.576748347191508,4.576748347191515,1,0.9,1.5525055822571479e-15,1.5719119020353623e-15
4801,2.361408862869163,2.3614088628691676,1,2.3,1.880611260645832e-15,1.946432654768436e-15
4801,0.08960390789033777,0.08960390789033727,1,4.0,4.996003610813204e-16,1.249000902703301e-16
4801,0.0,0.0,2,0.0,0.0,3.4788214569797018e-15
4801,4.85089280464352e-16,4.850892804643537e-16,2,1e-08,1.67632942359465e-30,3.4788214569797018e-15
4801,4.850892787318907e-08,4.8508927873189193e-08,2,0.0001,1.257314531080602e-22,2.563342135350363e-15
4801,0.1912834790548353,0.1912834790548355,2,0.2,1.942890293094024e-16,1.1143817635548254e-15
4801,2.9421953660516897,2.9421953660516884,2,0.9,4.528141281583345e-16,3.6677944380825104e-16
4801,3.879457417570767,3.879457417570775,2,2.3,2.0604958160119553e-15,1.5543122344752192e-15
4801,0.256011165400963,0.25601116540096364,2,4.0,6.106226635438361e-16,3.8163916471489756e-17
4801,0.0,0.0,3,0.0,0.0,2.947843445124896e-15
4801,3.464923431888251e-24,3.464923431888241e-24,3,1e-08,1.0285575569695016e-38,2.947843445124896e-15
4801,3.4649234195135114e-12,3.4649234195135143e-12,3,0.0001,2.8272774843121063e-27,7.690026406051088e-16
4801,0.027326211293546093,0.027326211293547936,3,0.2,1.842276331487369e-15,6.73458045774966e-14
4801,1.8914113067475093,1.8914113067475145,3,0.9,2.700113875314514e-15,2.7386198471016082e-15
4801,6.373394328866276,6.373394328866273,3,2.3,4.1807161484300525e-16,2.220446049250313e-16
4801,0.7314604725741822,0.731460472574182,3,4.0,2.220446049250313e-16,3.469446951953614e-18
