trapezoidal_F_over_q_l,quadrature_difference,F_over_q_l,normalized_quadrature_difference,q_bohr_minus1,F,channel_position
3.1118383235983793,-3.2231914115499194e-07,3.111838001279238,1.0357836996565994e-07,0.0,3.111838001279238,1
3.1118383235983793,-3.2231914115499194e-07,3.111838001279238,1.0357836996565994e-07,1e-08,3.111838001279238,1
3.1118383212777956,-3.2231914115499194e-07,3.1118379989586544,1.0357837004290118e-07,0.0001,3.1118379989586544,1
3.102567152723557,-3.189921486956848e-07,3.1025668337314083,1.028155501535755e-07,0.2,3.1025668337314083,1
2.92838970478475,-2.5879976073284183e-07,2.928389445984989,8.837613392438314e-08,0.9,2.928389445984989,1
2.0630818434864446,-2.880946681216301e-08,2.063081814676978,1.3964286924980782e-08,2.3,2.063081814676978,1
0.7769756666118262,6.563687082739023e-08,0.776975732248697,6.563687082739023e-08,4.0,0.776975732248697,1
-0.7542073477034787,-6.943197827791181e-07,-0.7542080420232615,6.943197827791181e-07,0.0,-0.7542080420232615,2
-0.7542073477034787,-6.943197827791181e-07,-0.7542080420232615,6.943197827791181e-07,1e-08,-0.7542080420232615,2
-0.7542073465128464,-6.943197804476497e-07,-0.7542080408326268,6.943197804476497e-07,0.0001,-0.7542080408326268,2
-0.7494501905823671,-6.87899235352063e-07,-0.7494508784816024,6.87899235352063e-07,0.2,-0.7494508784816024,2
-0.6599486160800644,-5.710713124607025e-07,-0.6599491871513768,5.710713124607025e-07,0.9,-0.6599491871513768,2
-0.2124929221524633,-1.0588380083831339e-07,-0.21249302803626413,1.0588380083831339e-07,2.3,-0.21249302803626413,2
0.4432858346392595,1.4846634988074925e-07,0.4432859831056094,1.4846634988074925e-07,4.0,0.4432859831056094,2
-0.024652835334808366,-3.2170495359654105e-07,-0.024653157039761963,3.2170495359654105e-07,0.0,0.0,3
-0.024652835334808363,-3.217049536000105e-07,-0.024653157039761963,3.217049536000105e-07,1e-08,-2.4653157039761966e-10,3
-0.024652835081224577,-3.2170495270142374e-07,-0.02465315678617728,3.2170495270142374e-07,0.0001,-2.465315678617728e-06,3
-0.023640267463180882,-3.1843571947701155e-07,-0.02364058589890036,3.1843571947701155e-07,0.2,-0.004728117179780072,3
-0.0048274844645654754,-2.5997625125156326e-07,-0.004827744440816727,2.5997625125156326e-07,0.9,-0.0043449699967350545,3
0.0813267508916515,-5.1760061819949854e-08,0.08132669913158969,5.1760061819949854e-08,2.3,0.18705140800265627,3
0.16821812048450574,2.3185417502569194e-08,0.16821814366992324,2.3185417502569194e-08,4.0,0.672872574679693,3
0.6697906478491994,1.2025369715562562e-06,0.669791850386171,1.2025369715562562e-06,0.0,0.0,4
0.6697906478491994,1.2025369715562562e-06,0.669791850386171,1.2025369715562562e-06,1e-08,6.6979185038617095e-09,4
0.6697906476679506,1.2025369678925202e-06,0.6697918502049185,1.2025369678925202e-06,0.0001,6.697918502049186e-05,4
0.6690633114253742,1.1903628091003426e-06,0.6690645017881833,1.1903628091003426e-06,0.2,0.13381290035763668,4
0.6541931439838014,9.726095203665963e-07,0.6541941165933217,9.726095203665963e-07,0.9,0.5887747049339895,4
0.5443326326729527,1.9559084929454684e-07,0.544332828263802,1.9559084929454684e-07,2.3,1.2519655050067446,4
0.2506639430075716,-8.723529204557323e-08,0.25066385577227956,8.723529204557323e-08,4.0,1.0026554230891183,4
-0.024446705768747287,-3.108488045681923e-07,-0.024447016617551855,3.108488045681923e-07,0.0,0.0,5
-0.024446705768747287,-3.108488045681923e-07,-0.024447016617551855,3.108488045681923e-07,1e-08,-2.4447016617551856e-10,5
-0.024446705515272487,-3.1084880387777236e-07,-0.024447016364076365,3.1084880387777236e-07,0.0001,-2.444701636407637e-06,5
-0.023434573840610515,-3.076948387262246e-07,-0.02343488153544924,3.076948387262246e-07,0.2,-0.004686976307089848,5
-0.004630175888333388,-2.512903517735976e-07,-0.004630427178685162,2.512903517735976e-07,0.9,-0.004167384460816646,5
0.08147661114794164,-5.0240216126207216e-08,0.08147656090772551,5.0240216126207216e-08,2.3,0.18739609008776867,5
0.16827707155914992,2.2461679571872395e-08,0.1682770940208295,2.2461679571872395e-08,4.0,0.673108376083318,5
0.669997136850437,1.1789709130072268e-06,0.66999831582135,1.1789709130072268e-06,0.0,0.0,6
0.669997136850437,1.1789709130072268e-06,0.66999831582135,1.1789709130072268e-06,1e-08,6.699983158213501e-09,6
0.6699971366687989,1.1789709104537138e-06,0.6699983156397094,1.1789709104537138e-06,0.0001,6.699983156397093e-05,6
0.6692682467575275,1.1670470959623813e-06,0.6692694138046235,1.1670470959623813e-06,0.2,0.1338538827609247,6
0.6543695396008878,9.53756797650307e-07,0.6543704933576855,9.53756797650307e-07,0.9,0.5889334440219169,6
0.5443870929666855,1.9229803749354346e-07,0.544387285264723,1.9229803749354346e-07,2.3,1.2520907561088628,6
0.25061515899962555,-8.566421555444848e-08,0.25061507333541,8.566421555444848e-08,4.0,1.00246029334164,6
