k_index,kx_fractional,ky_fractional,kz_fractional,state,eigenvalue_ha,residual_ha
1,0.0,0.0,0.0,1,-10.270241834568377,8.497381167911576e-11
1,0.0,0.0,0.0,2,-10.270241834568345,8.639324955037365e-11
1,0.0,0.0,0.0,3,-7.724421018268275,4.253905598064884e-11
1,0.0,0.0,0.0,4,-7.724421018268209,3.0939392108540426e-11
1,0.0,0.0,0.0,5,-7.713565756412116,3.7508186935596824e-11
1,0.0,0.0,0.0,6,-7.713565756412061,6.505055498169532e-11
1,0.0,0.0,0.0,7,-7.713402631254041,4.1520580010515897e-11
1,0.0,0.0,0.0,8,-7.7134026312539845,4.055868140858344e-11
1,0.0,0.0,0.0,9,-3.1117432148927873,3.6261473723312556e-12
1,0.0,0.0,0.0,10,-3.111743214892751,1.4955681298233408e-11
1,0.0,0.0,0.0,11,-2.4245771726718153,6.551688502098139e-11
1,0.0,0.0,0.0,12,-2.424577172671813,6.616097148238055e-11
1,0.0,0.0,0.0,13,-2.4243736488978334,7.028229382636987e-11
1,0.0,0.0,0.0,14,-2.424373648897794,8.109397206137152e-11
1,0.0,0.0,0.0,15,-2.4210669646280105,9.554641954144891e-11
1,0.0,0.0,0.0,16,-2.4210669646279914,1.694397936555819e-11
2,0.125,0.0625,-0.1875,1,-10.269631768471376,6.384511413975745e-11
2,0.125,0.0625,-0.1875,2,-10.269631767755406,7.602879420035179e-11
2,0.125,0.0625,-0.1875,3,-7.723555590705227,1.996726239455595e-11
2,0.125,0.0625,-0.1875,4,-7.723555497471188,1.137485791070257e-11
2,0.125,0.0625,-0.1875,5,-7.712531510892854,2.448402896357273e-11
2,0.125,0.0625,-0.1875,6,-7.712531418814473,2.458574729119625e-11
2,0.125,0.0625,-0.1875,7,-7.704538817811716,2.3502716732241262e-11
2,0.125,0.0625,-0.1875,8,-7.704538732357974,2.1954960304312952e-11
2,0.125,0.0625,-0.1875,9,-3.1112183348302462,4.901138869075731e-12
2,0.125,0.0625,-0.1875,10,-3.1112183344913453,3.146265070482259e-12
2,0.125,0.0625,-0.1875,11,-2.4240781935159217,7.777114201853615e-11
2,0.125,0.0625,-0.1875,12,-2.424078192243319,8.22259058782218e-11
2,0.125,0.0625,-0.1875,13,-2.4222455977705946,4.138432633480402e-11
2,0.125,0.0625,-0.1875,14,-2.4222455961420706,6.868001053165453e-11
2,0.125,0.0625,-0.1875,15,-2.4218592612669125,4.694901708928912e-11
2,0.125,0.0625,-0.1875,16,-2.4218592596426274,3.1567326886994445e-11
3,-0.125,-0.0625,0.1875,1,-10.269631768471402,8.796553650636099e-11
3,-0.125,-0.0625,0.1875,2,-10.269631767755412,6.825641988020768e-11
3,-0.125,-0.0625,0.1875,3,-7.723555590705133,1.9190566131495345e-11
3,-0.125,-0.0625,0.1875,4,-7.723555497471183,2.3211700372972726e-11
3,-0.125,-0.0625,0.1875,5,-7.71253151089288,2.23341653106219e-11
3,-0.125,-0.0625,0.1875,6,-7.712531418814449,2.34517016923893e-11
3,-0.125,-0.0625,0.1875,7,-7.70453881781164,2.5130722438986607e-11
3,-0.125,-0.0625,0.1875,8,-7.704538732357926,2.3131923192715677e-11
3,-0.125,-0.0625,0.1875,9,-3.1112183348302103,7.463168860903876e-13
3,-0.125,-0.0625,0.1875,10,-3.111218334491332,1.5779297543000176e-12
3,-0.125,-0.0625,0.1875,11,-2.4240781935159172,7.067876229114526e-11
3,-0.125,-0.0625,0.1875,12,-2.424078192243319,6.64053181685918e-11
3,-0.125,-0.0625,0.1875,13,-2.4222455977705866,5.005094620310055e-11
3,-0.125,-0.0625,0.1875,14,-2.4222455961420453,3.293020788812914e-11
3,-0.125,-0.0625,0.1875,15,-2.4218592612669063,6.551426379652396e-11
3,-0.125,-0.0625,0.1875,16,-2.4218592596426136,3.796929153960745e-11
