map_index,map_role,status,unmixed_residual_l2,mixed_step_l2,actual_next_step_l2,density_candidate,closure_checks_passed,next_density_source,failure_reason,n_in_sha256,n_in_electron_count,n_out_sha256,n_out_electron_count,n_next_sha256,n_next_electron_count,target_states,max_input_h_residual_ha,max_gram_norm,potential_sha256,potential_norm,potential_change_norm,probe_action_sha256,probe_action_norm,internal_energy_ha,entropy_dimensionless,entropy_energy_ha,free_energy_ha,free_energy_arithmetic_error_ha,real_electron_count,orbital_electron_count,pauli_density_relative_l2,max_self_density_h_residual_ha,max_self_rayleigh_residual_ha,mu_ha,electron_residual,electrons_per_k_unweighted,electrons_per_k_weighted,occupation_minimum,occupation_maximum,numerical_plateau,mu_selection_rule,highest_two,iterations,occupation_stationarity_max_abs_ha,magnetization_integral,energy_terms_ha,band_status,band_max_top_occupation,rayleigh_occupation_max_difference
1,iteration,CONTINUE,4.069038978871739,0.40690389788717396,0.40690389788717396,False,False,linear_mixing,,e54ed4b140ab95e4e88e31e0c0848067b8d8104fa58ade2e436177ef61af36c0,10.000000000000007,ec2373b69a5f85931886ba994dae6a9fa2cda5ee1a05c6806faeceb976d4bb81,10.000000000000085,3495f574756449641a573e289d64cfd899fc58790b411f735c0a01444b2c5243,10.000000000000009,24,9.238989255312735e-11,5.540938344900915e-14,78da7f11fa8229033daba264589963f058dd223d1eeb23843f04c5b774672013,282.49361417994714,,e9bc7c93b2492152aabfacc81e47d7fd8257fcd11ca4bdb95c8bd3d880321494,9.664528622335785,-53.330095936691855,6.724409591496495e-147,-6.724409591496494e-150,-53.330095936691855,6.724409591496494e-150,10.000000000000085,10.000000000000085,2.1821849337415197e-13,8.75964657990428,1.9778566606905958,-2.76789235684468,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.6122548549502025e-304,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[5.186617508375209e-304,5.186617508343368e-304],[1.612254854978796e-304,1.6122548549608336e-304],[1.6122548549901601e-304,1.6122548549502025e-304]]",0,0.0,"[-7.988058542726775e-15,6.783948116629219e-15,-8.042959824532097e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":41.965853925256766,""AtomicNonlocalFR"":-17.5616695996167,""AtomicLocal"":-94.89716181251899,""Hartree"":39.98580127069299,""Xc"":-8.728307268323814}",PASS,5.186617508375209e-304,0.9999999999999999
2,iteration,CONTINUE,3.6422740767747044,0.3642274076774705,0.3642274076774705,False,False,linear_mixing,,3495f574756449641a573e289d64cfd899fc58790b411f735c0a01444b2c5243,10.000000000000009,a39f862a2f0c174bcb56450af76d7e8ba9b382dcf48a84cc1248e7dfe2e925c7,10.00000000000002,73fcc944e6abd4ebb618b3597a995297e6434b1d206719a797ec6b571811146e,10.00000000000001,24,9.188048618509414e-11,4.2315577117223984e-14,054fffb2be4df1e146460233e6bf85592483c546914e96a941fdafef5a839556,262.3496797626055,21.571341624558205,f9b55f6dac5b784ea7d2c9097d626895839a87506796f028639d0518e95d6749,9.66104806663018,-53.6044413629878,2.2672273993285695e-147,-2.2672273993285697e-150,-53.6044413629878,2.2672273993285697e-150,10.00000000000002,10.000000000000021,1.323811462373005e-13,8.16793365799381,1.8847131256197358,-2.3682314538957576,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",2.1151892790408275e-271,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[5.949021622148532e-271,5.949021622015973e-271],[2.1155466652212235e-271,2.1151892790821881e-271],[2.1155466652192996e-271,2.1151892790408275e-271]]",0,0.0,"[-3.7489520584174684e-15,2.3536374072949113e-15,3.3101129126976715e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":41.54082958464933,""AtomicNonlocalFR"":-17.541064074389883,""AtomicLocal"":-94.48349478561747,""Hartree"":39.65508523884334,""Xc"":-8.681184874291022}",PASS,5.949021622148532e-271,1.0
3,iteration,CONTINUE,3.231295682356237,0.3231295682356238,0.3231295682356238,False,False,linear_mixing,,73fcc944e6abd4ebb618b3597a995297e6434b1d206719a797ec6b571811146e,10.00000000000001,e34acdd94edd6396e75d6d290cc638d74122ab949c4f306c794c12fc2694b14b,10.000000000000037,576319b617c7aea0b4bc5ee5d95925c998eece8ebe88696c0fbc121a823219c1,10.000000000000014,24,8.343733204348938e-11,3.771632203800598e-14,6fe08cf4215e189ddd4912655cf7857b8b05e4f5dc50a98c758bb21c3c071317,242.16695300820868,20.858573529609004,8de6d90b7778f1a2f1efb2b31dfbae5b48e7485752d704874e0142401cce3840,9.658944828874075,-54.06490900694983,4.040184737945256e-151,-4.0401847379452555e-154,-54.06490900694983,4.0401847379452555e-154,10.000000000000037,10.000000000000043,1.7298387182452706e-13,7.319132149418024,1.7284503448412687,-1.9830506919029403,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",4.892106183233371e-229,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.1759083669458304e-228,1.1759083669431567e-228],[4.892966410676392e-229,4.8921061832862066e-229],[4.892966410673054e-229,4.892106183233371e-229]]",0,0.0,"[7.009581002729812e-15,1.3623083972866558e-14,1.2440332473661735e-14]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":40.60645033107572,""AtomicNonlocalFR"":-17.345637011151137,""AtomicLocal"":-93.69605682985352,""Hartree"":39.05736602898355,""Xc"":-8.592419073822345}",PASS,1.1759083669458304e-228,0.9999999999996732
4,iteration,CONTINUE,2.858888919881527,0.28588889198815276,0.28588889198815276,False,False,linear_mixing,,576319b617c7aea0b4bc5ee5d95925c998eece8ebe88696c0fbc121a823219c1,10.000000000000014,1d5540c54721f72da13fa6f8f12ad17b19fba6fbf9189e432db5ebcbdaee5436,10.000000000000023,5ed8b73782ac30b9eeb048f6b66d99342c67e28972c8d93b3a4960584d988b4c,10.000000000000014,24,8.769063200586759e-11,3.5190834023271776e-14,ad5b0332ab5d14e8220fb893ef96a8619eef31026cdb1552fdce57fd5ad776f3,223.7956289023663,18.98379415273047,543a010f06b73963a302d693f9d0d093232fcc8f4898d375d22e4a2061878764,9.657990742878072,-54.51535982069909,7.588067364176657e-154,-7.588067364176657e-157,-54.51535982069909,7.588067364176657e-157,10.000000000000023,10.000000000000028,1.7703951393074578e-13,6.515143435681522,1.5654189510429537,-1.6429960936432162,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.5751450144223373e-189,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[3.2719076634298983e-189,3.2719076633979088e-189],[1.5755100264950903e-189,1.5751450144223373e-189],[1.5755100265073596e-189,1.575145014447497e-189]]",0,0.0,"[3.9096364360667774e-15,-2.638868179169049e-15,8.231882501419589e-16]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":39.64582067721605,""AtomicNonlocalFR"":-17.138021068986696,""AtomicLocal"":-92.84395542251752,""Hartree"":38.413611029757234,""Xc"":-8.498202583986048}",PASS,3.2719076634298983e-189,0.9953236510396403
5,iteration,CONTINUE,2.5235999680288503,0.25235999680288507,0.25235999680288507,False,False,linear_mixing,,5ed8b73782ac30b9eeb048f6b66d99342c67e28972c8d93b3a4960584d988b4c,10.000000000000014,b1ed7f8fe2e7d09fa3a53093e0eeffc8dfc549574b947e83accc9927cc20e858,10.000000000000018,fd68cb32bd2f82bfe2bb336a9011dcf0015ab7752346a81cf7ebfcf553c2728f,10.000000000000016,24,5.586568068662795e-11,3.3861931980686476e-14,ce7cf7dc5f510e805831f0001bc6c8d08938723e764c08c04c35b5ed5d84bd14,207.29608764448216,17.095992073215587,5e5476bfe05fc104c118e1a745825fd67174a52fd4c2cc562c853e79c3ed392b,9.657968726411768,-54.931992397881196,3.190600051362704e-153,-3.1906000513627036e-156,-54.931992397881196,3.1906000513627036e-156,10.000000000000018,10.000000000000018,1.7368866494164787e-13,5.777225557878815,1.4054154922184932,-1.3552729556800096,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",2.2809853384262842e-161,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[2.5004877839128036e-161,2.5004877838977372e-161],[2.2811292902271277e-161,2.280985338429007e-161],[2.2811292902116973e-161,2.2809853384262842e-161]]",0,0.0,"[-6.221124422064141e-15,6.024940493130979e-17,-2.4611069014544158e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":38.70456202922783,""AtomicNonlocalFR"":-16.92638456541728,""AtomicLocal"":-91.96635705767707,""Hartree"":37.75390691895642,""Xc"":-8.403107270788984}",PASS,2.5004877839128036e-161,0.0003387759287641081
6,iteration,CONTINUE,2.222857221997476,0.22228572219974768,0.22228572219974768,False,False,linear_mixing,,fd68cb32bd2f82bfe2bb336a9011dcf0015ab7752346a81cf7ebfcf553c2728f,10.000000000000016,8c0dbb30a25e363352bb327342744e211573dd68db6132584a7c68d3ceb76f88,9.999999999999998,32d5682f030b809060061835de1a585180833ba6298a2be9699eb608fefbf0f8,10.000000000000014,24,6.756151847860079e-11,3.259641258116298e-14,0dc3d6b48e11871d74b5462cb6e861af2d28c89a31ad9954ea675dc27e24327e,192.56777580218085,15.320297471309074,86348a713262fecd92aa59553c80444384499fb292bcce4cb3bbbf1d728952ca,9.65869329149591,-55.30702644576905,1.501581781019195e-138,-1.501581781019195e-141,-55.30702644576905,1.501581781019195e-141,9.999999999999998,10.0,1.4796423371639952e-13,5.107992516588319,1.2527747660343629,-1.140194998757185,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.8638395925090434e-175,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.8638395925110564e-175,1.8638395925090434e-175],[1.949958989200643e-175,1.949958569627311e-175],[1.9499589891900022e-175,1.9499585696150075e-175]]",0,0.0,"[9.350849405180395e-16,-3.119607158255909e-15,-6.481391551797396e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":37.80145227193243,""AtomicNonlocalFR"":-16.714806205080066,""AtomicLocal"":-91.0830523896648,""Hartree"":37.093213058933785,""Xc"":-8.309220729708292}",PASS,1.949958989200643e-175,7.639156087158493e-08
7,iteration,CONTINUE,1.9539177878435134,0.19539177878435135,0.19539177878435135,False,False,linear_mixing,,32d5682f030b809060061835de1a585180833ba6298a2be9699eb608fefbf0f8,10.000000000000014,7db7ed8b3d9d40d37fad42508e0c162965469763114810496722c8b5d3bc5245,10.000000000000036,6fcaf959c465886cf99767f125e0ce9acc71d7b172d29488895b75967a06e5a0,10.000000000000016,24,8.659184893366604e-11,3.165895938297367e-14,bfc9e19e86576483c1eb5cf29d4a143603146516f150c6a7326b26f4f39f2700,179.47474611042043,13.679835174643593,20f82476314cad6c942ad1f84314c0ffc043cc64d2cc71c25d64e6f182241b98,9.660004879482983,-55.63851279866614,1.4123424282988685e-125,-1.4123424282988685e-128,-55.63851279866614,1.4123424282988685e-128,10.000000000000036,10.000000000000036,1.3315148016596038e-13,4.505000194754711,1.1098526122145416,-0.9577228861065668,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",5.939824047331709e-185,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[5.9398240473415e-185,5.939824047331709e-185],[6.61277204746896e-185,6.61277157348536e-185],[6.61277204744979e-185,6.612771573506785e-185]]",0,0.0,"[-1.5431828952242268e-15,-4.849929019033074e-15,2.2987348676909435e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":36.94613682660804,""AtomicNonlocalFR"":-16.506224137599453,""AtomicLocal"":-90.20728830623524,""Hartree"":36.44121791656276,""Xc"":-8.217742645820147}",PASS,6.61277204746896e-185,3.197315906861184e-11
8,iteration,CONTINUE,1.7140894562456235,0.17140894562456244,0.17140894562456244,False,False,linear_mixing,,6fcaf959c465886cf99767f125e0ce9acc71d7b172d29488895b75967a06e5a0,10.000000000000016,61333d21e3d1930ef21644cb1722baa17d14471e6b5ce87a3db6eb526886d1d8,10.000000000000023,dee5d029c9b7a8a8ffab8e8ffc5eb1e39f6eefb172a063e23317bd32b6fe549e,10.000000000000018,24,7.486911051254025e-11,3.310445086061832e-14,a756aee0f34a00af20575b71abe5b753b09926f9bf856d1b5f536f678f25a078,167.87386559883387,12.179514960109241,0895d2927d021d90c73b8c0fdda450cc17602dd08c34546c1ab4abfee011208f,9.6617694181398,-55.927352816829966,3.855233767173895e-114,-3.855233767173895e-117,-55.927352816829966,3.855233767173895e-117,10.000000000000023,10.000000000000025,3.237230476039323e-13,3.964058116328949,0.9778898389602024,-0.8037629811951092,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",3.1892220460306128e-190,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[3.1892220460315193e-190,3.1892220460306128e-190],[4.098747882084295e-190,4.0987477569563835e-190],[4.098747882091751e-190,4.0987477569566167e-190]]",0,0.0,"[-2.162381458649493e-15,-3.2856544918798958e-15,4.819787796291261e-15]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":36.143825399656315,""AtomicNonlocalFR"":-16.303050840450297,""AtomicLocal"":-89.34895177923578,""Hartree"":35.804874234157076,""Xc"":-8.12943737877519}",PASS,4.098747882091751e-190,1.1035616864774056e-13
9,iteration,CONTINUE,1.5008040169250327,0.1500804016925033,0.1500804016925033,False,False,linear_mixing,,dee5d029c9b7a8a8ffab8e8ffc5eb1e39f6eefb172a063e23317bd32b6fe549e,10.000000000000018,43d48838a96309d9135d22ee160e28e32c58cfdbf33961e642b9d0958ce57ca5,10.00000000000003,0c9f7caec96db4dc62ba8c0bfe340064fd65d3e5fa0780909f6a35d5b4db59e7,10.00000000000002,24,9.362456010975505e-11,3.52876567004499e-14,55fd161acccbc77280ce0179971bbb1fba1c0c36afa7f8592b04165f543ad827,157.6246459041116,10.818287314069805,214a014d32b8745abf19a2774f7aa3679eb73e99bb56d920f13f65a1157bed21,9.663873943666367,-56.17598572487078,4.563607240794772e-104,-4.5636072407947724e-107,-56.17598572487078,4.5636072407947724e-107,10.00000000000003,10.000000000000032,8.094493116119054e-14,3.4803962464848683,0.8574524954436266,-0.6745411483977559,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",7.426501307788298e-192,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[7.426501307795052e-192,7.426501307788298e-192],[1.3732609228355324e-191,1.3732608925874233e-191],[1.3732609228356886e-191,1.3732608925885942e-191]]",0,0.0,"[5.0659735525872775e-15,2.9835437390380122e-15,-9.905973539234585e-16]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":35.39714948617673,""AtomicNonlocalFR"":-16.107320953293303,""AtomicLocal"":-88.51577645325581,""Hartree"":35.189402160504834,""Xc"":-8.044827512821124}",PASS,1.3732609228356886e-191,1.2354899844164028e-16
10,iteration,CONTINUE,1.311637462081264,0.13116374620812649,0.13116374620812649,False,False,linear_mixing,,0c9f7caec96db4dc62ba8c0bfe340064fd65d3e5fa0780909f6a35d5b4db59e7,10.00000000000002,7756eebd08cb202167af333055743a3cd0d31e7b1e8dab07251a1e4c4007c8fd,10.000000000000014,0d678e395ca6b3a555b2d1a9b120d5d26834b18c3a5b2425c55af08ea3cc8f44,10.00000000000002,24,9.305969569477945e-11,3.136608885338124e-14,7ceca126f15e9be4e12dd8eb3b24385be2ed83ebac0b07af5df58e92c9ceb6e3,148.59415402556246,9.588424008614759,6ba876fbdef1cb2d95a596c4157521971bfe31d9544a6f2dd33a252d03d6bdfe,9.666220233433776,-56.387743693018024,3.263142800827972e-95,-3.263142800827972e-98,-56.387743693018024,3.263142800827972e-98,10.000000000000014,10.000000000000012,3.448581738549258e-13,3.0491370863130034,0.7486287424160254,-0.5667142019689131,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.302652145756777e-190,1.0,True,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.3026521457574436e-190,1.302652145756777e-190],[5.139711687021231e-190,5.139711532061091e-190],[5.139711687012174e-190,5.139711532063136e-190]]",0,0.0,"[2.5372517219847903e-15,7.085709014640432e-16,7.523091551555397e-16]","{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":34.70693831618824,""AtomicNonlocalFR"":-15.920709233465091,""AtomicLocal"":-87.71370177440366,""Hartree"":34.59861387951891,""Xc"":-7.964272428674321}",PASS,5.139711687021231e-190,1.4305858146795784e-16
