map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
1,1,24,6,2777,Independent ComplexF64 Gaussian whole-column QR,63001,1.515824220993668e-14,3.868411396235862,2994bc5168f0bdda06748b1e9863cae0d298112ef9f4c5088809da876d122615,True,True,35,3.8167989253997803,1080,"{""full_mul_calls"":36,""full_columns"":1080,""fr_mul_calls"":36,""fr_columns"":1080,""common"":{""operator_mul_calls"":36,""operator_columns"":1080,""scalar_mul_calls"":72,""scalar_columns"":2160}}","{""full_mul_calls"":37,""full_columns"":1104,""fr_mul_calls"":37,""fr_columns"":1104,""common"":{""operator_mul_calls"":37,""operator_columns"":1104,""scalar_mul_calls"":74,""scalar_columns"":2208}}",5.540938344900915e-14,6.552159424992374e-11
1,2,24,6,2770,Independent ComplexF64 Gaussian whole-column QR,63002,1.7500874384450505e-14,3.8761006517818406,baae555abbdc51c5ae2027c554971249d370bbfb4a7f6ac9c1eacc336dfcb05b,True,True,35,2.263535976409912,1080,"{""full_mul_calls"":36,""full_columns"":1080,""fr_mul_calls"":36,""fr_columns"":1080,""common"":{""operator_mul_calls"":36,""operator_columns"":1080,""scalar_mul_calls"":72,""scalar_columns"":2160}}","{""full_mul_calls"":37,""full_columns"":1104,""fr_mul_calls"":37,""fr_columns"":1104,""common"":{""operator_mul_calls"":37,""operator_columns"":1104,""scalar_mul_calls"":74,""scalar_columns"":2208}}",4.6061558071060867e-14,6.563827548020068e-11
1,3,24,6,2770,Independent ComplexF64 Gaussian whole-column QR,63003,1.3809228243783476e-14,3.8760908856279634,55766c0b2914f710204e40c48e672f009510900a248e9f8d9eb0878c81594598,True,True,35,2.2504959106445312,1079,"{""full_mul_calls"":36,""full_columns"":1079,""fr_mul_calls"":36,""fr_columns"":1079,""common"":{""operator_mul_calls"":36,""operator_columns"":1079,""scalar_mul_calls"":72,""scalar_columns"":2158}}","{""full_mul_calls"":37,""full_columns"":1103,""fr_mul_calls"":37,""fr_columns"":1103,""common"":{""operator_mul_calls"":37,""operator_columns"":1103,""scalar_mul_calls"":74,""scalar_columns"":2206}}",4.5072847741743476e-14,9.238989255312735e-11
2,1,24,6,2777,Previous map from this run only,63001,5.756523663639913e-14,3.880966325315389,8e2e6b4a9cecee93eefde8034509331258474b34b5d4e495189fdadf6644c06a,True,True,21,1.46415114402771,660,"{""full_mul_calls"":22,""full_columns"":660,""fr_mul_calls"":22,""fr_columns"":660,""common"":{""operator_mul_calls"":22,""operator_columns"":660,""scalar_mul_calls"":44,""scalar_columns"":1320}}","{""full_mul_calls"":23,""full_columns"":684,""fr_mul_calls"":23,""fr_columns"":684,""common"":{""operator_mul_calls"":23,""operator_columns"":684,""scalar_mul_calls"":46,""scalar_columns"":1368}}",3.657884870771305e-14,6.731746743533801e-11
2,2,24,6,2770,Previous map from this run only,63002,5.121324445387312e-14,3.877436719847465,f0f6ff2c0a32aa63ea9bc5227c83b29fac8ec55ffbcbbd3619c829c9385b526c,True,True,23,1.4056220054626465,720,"{""full_mul_calls"":24,""full_columns"":720,""fr_mul_calls"":24,""fr_columns"":720,""common"":{""operator_mul_calls"":24,""operator_columns"":720,""scalar_mul_calls"":48,""scalar_columns"":1440}}","{""full_mul_calls"":25,""full_columns"":744,""fr_mul_calls"":25,""fr_columns"":744,""common"":{""operator_mul_calls"":25,""operator_columns"":744,""scalar_mul_calls"":50,""scalar_columns"":1488}}",4.2315577117223984e-14,5.2305211289421436e-11
2,3,24,6,2770,Previous map from this run only,63003,4.9969341424260306e-14,3.881018865331301,796379f985b371f5b788590461f4899d9660f08c4fd0baa8f4f841d5054dc465,True,True,23,1.3859641551971436,719,"{""full_mul_calls"":24,""full_columns"":719,""fr_mul_calls"":24,""fr_columns"":719,""common"":{""operator_mul_calls"":24,""operator_columns"":719,""scalar_mul_calls"":48,""scalar_columns"":1438}}","{""full_mul_calls"":25,""full_columns"":743,""fr_mul_calls"":25,""fr_columns"":743,""common"":{""operator_mul_calls"":25,""operator_columns"":743,""scalar_mul_calls"":50,""scalar_columns"":1486}}",3.7821569161792865e-14,9.188048618509414e-11
3,1,24,6,2777,Previous map from this run only,63001,4.1063734994573836e-14,3.8703974823270526,62d8510b91ceb1cd0bae9ebe0158ce5fa1ac5b55d92ab4a3328e48cabc8cf54a,True,True,20,1.2141590118408203,630,"{""full_mul_calls"":21,""full_columns"":630,""fr_mul_calls"":21,""fr_columns"":630,""common"":{""operator_mul_calls"":21,""operator_columns"":630,""scalar_mul_calls"":42,""scalar_columns"":1260}}","{""full_mul_calls"":22,""full_columns"":654,""fr_mul_calls"":22,""fr_columns"":654,""common"":{""operator_mul_calls"":22,""operator_columns"":654,""scalar_mul_calls"":44,""scalar_columns"":1308}}",3.219639261131078e-14,5.515761583708922e-11
3,2,24,6,2770,Previous map from this run only,63002,4.694359979684968e-14,3.864591944466196,6b02512b1112ce20877c2b0601f8165d86a1c64f09dd935c5e9a7de17d05e153,True,True,20,1.388772964477539,630,"{""full_mul_calls"":21,""full_columns"":630,""fr_mul_calls"":21,""fr_columns"":630,""common"":{""operator_mul_calls"":21,""operator_columns"":630,""scalar_mul_calls"":42,""scalar_columns"":1260}}","{""full_mul_calls"":22,""full_columns"":654,""fr_mul_calls"":22,""fr_columns"":654,""common"":{""operator_mul_calls"":22,""operator_columns"":654,""scalar_mul_calls"":44,""scalar_columns"":1308}}",3.771632203800598e-14,7.766260770835939e-11
3,3,24,6,2770,Previous map from this run only,63003,4.276244959889797e-14,3.874809339746495,a45b2e818c053411579584a6e8101022038370e558a711efeb7d59ee693a11df,True,True,20,1.2498979568481445,630,"{""full_mul_calls"":21,""full_columns"":630,""fr_mul_calls"":21,""fr_columns"":630,""common"":{""operator_mul_calls"":21,""operator_columns"":630,""scalar_mul_calls"":42,""scalar_columns"":1260}}","{""full_mul_calls"":22,""full_columns"":654,""fr_mul_calls"":22,""fr_columns"":654,""common"":{""operator_mul_calls"":22,""operator_columns"":654,""scalar_mul_calls"":44,""scalar_columns"":1308}}",3.5700434655152667e-14,8.343733204348938e-11
4,1,24,6,2777,Previous map from this run only,63001,3.6143173028259536e-14,3.8706376570670917,5ef99602bb97a1c79aaa75282cd48e07c1d59d1c31c06e3ab0c9c2b56c84a69f,True,True,19,1.1314480304718018,596,"{""full_mul_calls"":20,""full_columns"":596,""fr_mul_calls"":20,""fr_columns"":596,""common"":{""operator_mul_calls"":20,""operator_columns"":596,""scalar_mul_calls"":40,""scalar_columns"":1192}}","{""full_mul_calls"":21,""full_columns"":620,""fr_mul_calls"":21,""fr_columns"":620,""common"":{""operator_mul_calls"":21,""operator_columns"":620,""scalar_mul_calls"":42,""scalar_columns"":1240}}",3.108542929270238e-14,8.769063200586759e-11
