map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
1,1,24,6,2777,Independent ComplexF64 Gaussian whole-column QR,64001,1.5142530770466207e-14,3.868905688309096,950803859761b1873b74ca5cd0cf65218b9542e70b4d0da364a5e41648716826,True,True,35,3.713178873062134,1080,"{""full_mul_calls"":36,""full_columns"":1080,""fr_mul_calls"":36,""fr_columns"":1080,""common"":{""operator_mul_calls"":36,""operator_columns"":1080,""scalar_mul_calls"":72,""scalar_columns"":2160}}","{""full_mul_calls"":37,""full_columns"":1104,""fr_mul_calls"":37,""fr_columns"":1104,""common"":{""operator_mul_calls"":37,""operator_columns"":1104,""scalar_mul_calls"":74,""scalar_columns"":2208}}",4.624325122858059e-14,6.314611273593264e-11
1,2,24,6,2770,Independent ComplexF64 Gaussian whole-column QR,64002,1.62044451452646e-14,3.8677258953991305,444c1897ca7634d84473df5779e9f53bfe469ab69cefc3a853d2d29ec757597c,True,True,35,2.2802650928497314,1080,"{""full_mul_calls"":36,""full_columns"":1080,""fr_mul_calls"":36,""fr_columns"":1080,""common"":{""operator_mul_calls"":36,""operator_columns"":1080,""scalar_mul_calls"":72,""scalar_columns"":2160}}","{""full_mul_calls"":37,""full_columns"":1104,""fr_mul_calls"":37,""fr_columns"":1104,""common"":{""operator_mul_calls"":37,""operator_columns"":1104,""scalar_mul_calls"":74,""scalar_columns"":2208}}",3.877103658100427e-14,6.847761705340741e-11
1,3,24,6,2770,Independent ComplexF64 Gaussian whole-column QR,64003,1.8004502743056898e-14,3.8731210505856266,e15cacfedae74a58c68103bae41989ba7b0eb3d9be9904010a5912a021cba721,True,True,35,2.2966039180755615,1080,"{""full_mul_calls"":36,""full_columns"":1080,""fr_mul_calls"":36,""fr_columns"":1080,""common"":{""operator_mul_calls"":36,""operator_columns"":1080,""scalar_mul_calls"":72,""scalar_columns"":2160}}","{""full_mul_calls"":37,""full_columns"":1104,""fr_mul_calls"":37,""fr_columns"":1104,""common"":{""operator_mul_calls"":37,""operator_columns"":1104,""scalar_mul_calls"":74,""scalar_columns"":2208}}",4.3694024157668685e-14,7.757191169604759e-11
2,1,24,6,2777,Previous map from this run only,64001,5.103110146037118e-14,3.8734796912807417,964389fb18a40da2e54bd9974a9e80e4f3c494ee21204ce930c80c8fd0e62b0a,True,True,22,1.5910561084747314,690,"{""full_mul_calls"":23,""full_columns"":690,""fr_mul_calls"":23,""fr_columns"":690,""common"":{""operator_mul_calls"":23,""operator_columns"":690,""scalar_mul_calls"":46,""scalar_columns"":1380}}","{""full_mul_calls"":24,""full_columns"":714,""fr_mul_calls"":24,""fr_columns"":714,""common"":{""operator_mul_calls"":24,""operator_columns"":714,""scalar_mul_calls"":48,""scalar_columns"":1428}}",4.0438657781572075e-14,5.605327838165509e-11
2,2,24,6,2770,Previous map from this run only,64002,4.226505736946414e-14,3.8683678717611483,25eb9b5d82abfaffacb56a338878f577597ce069d95580a35edd0d7177c1a16c,True,True,23,1.4345800876617432,719,"{""full_mul_calls"":24,""full_columns"":719,""fr_mul_calls"":24,""fr_columns"":719,""common"":{""operator_mul_calls"":24,""operator_columns"":719,""scalar_mul_calls"":48,""scalar_columns"":1438}}","{""full_mul_calls"":25,""full_columns"":743,""fr_mul_calls"":25,""fr_columns"":743,""common"":{""operator_mul_calls"":25,""operator_columns"":743,""scalar_mul_calls"":50,""scalar_columns"":1486}}",3.497571870495968e-14,9.133662353854748e-11
2,3,24,6,2770,Previous map from this run only,64003,4.8446305215225155e-14,3.8772979600477546,c84178c153ba3137b2a5c478dc22e6f5428f367539e7425c8b85f52bd106773b,True,True,23,1.5851759910583496,719,"{""full_mul_calls"":24,""full_columns"":719,""fr_mul_calls"":24,""fr_columns"":719,""common"":{""operator_mul_calls"":24,""operator_columns"":719,""scalar_mul_calls"":48,""scalar_columns"":1438}}","{""full_mul_calls"":25,""full_columns"":743,""fr_mul_calls"":25,""fr_columns"":743,""common"":{""operator_mul_calls"":25,""operator_columns"":743,""scalar_mul_calls"":50,""scalar_columns"":1486}}",3.445592785795639e-14,9.622952138041567e-11
3,1,24,6,2777,Previous map from this run only,64001,4.434763961652932e-14,3.878046288291639,743bd549d4cf62008a8c0c97ec181b634818c10396ec95bdb5e0bb7c8683baba,True,True,19,1.2060809135437012,600,"{""full_mul_calls"":20,""full_columns"":600,""fr_mul_calls"":20,""fr_columns"":600,""common"":{""operator_mul_calls"":20,""operator_columns"":600,""scalar_mul_calls"":40,""scalar_columns"":1200}}","{""full_mul_calls"":21,""full_columns"":624,""fr_mul_calls"":21,""fr_columns"":624,""common"":{""operator_mul_calls"":21,""operator_columns"":624,""scalar_mul_calls"":42,""scalar_columns"":1248}}",2.6658184494311362e-14,9.62686281842304e-11
3,2,24,6,2770,Previous map from this run only,64002,3.9705519679314967e-14,3.8730858762892044,69872d3f3b10a77bc48c87520c18d142138c45522d294eafee0a1e81a324e951,True,True,20,1.4794330596923828,630,"{""full_mul_calls"":21,""full_columns"":630,""fr_mul_calls"":21,""fr_columns"":630,""common"":{""operator_mul_calls"":21,""operator_columns"":630,""scalar_mul_calls"":42,""scalar_columns"":1260}}","{""full_mul_calls"":22,""full_columns"":654,""fr_mul_calls"":22,""fr_columns"":654,""common"":{""operator_mul_calls"":22,""operator_columns"":654,""scalar_mul_calls"":44,""scalar_columns"":1308}}",2.9958052593136086e-14,8.280387277367624e-11
3,3,24,6,2770,Previous map from this run only,64003,4.312690720368301e-14,3.8726734277737513,a06679f4c328da00017d13f71441394406a0d539ccaa0a40f9d9c3b6ba9d4e1d,True,True,20,1.2879059314727783,630,"{""full_mul_calls"":21,""full_columns"":630,""fr_mul_calls"":21,""fr_columns"":630,""common"":{""operator_mul_calls"":21,""operator_columns"":630,""scalar_mul_calls"":42,""scalar_columns"":1260}}","{""full_mul_calls"":22,""full_columns"":654,""fr_mul_calls"":22,""fr_columns"":654,""common"":{""operator_mul_calls"":22,""operator_columns"":654,""scalar_mul_calls"":44,""scalar_columns"":1308}}",3.47275829935836e-14,7.678411583855667e-11
4,1,24,6,2777,Previous map from this run only,64001,3.3147887124900086e-14,3.859556901644344,fcc78514464e6ebafecd5ae7387618fccc2397959118576f3ec8d733c79512c7,True,True,18,1.1614148616790771,570,"{""full_mul_calls"":19,""full_columns"":570,""fr_mul_calls"":19,""fr_columns"":570,""common"":{""operator_mul_calls"":19,""operator_columns"":570,""scalar_mul_calls"":38,""scalar_columns"":1140}}","{""full_mul_calls"":20,""full_columns"":594,""fr_mul_calls"":20,""fr_columns"":594,""common"":{""operator_mul_calls"":20,""operator_columns"":594,""scalar_mul_calls"":40,""scalar_columns"":1188}}",3.4634642508545055e-14,9.125042422165436e-11
